img_size,conf_thresh,iou_thresh,skip_interval,appearance_weight,MOTA,IDF1,FPS
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,47.206
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,51.332
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,48.788
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,48.592
320,0.8,0.7,5,1.0,0.8500000000000001,0.75,50.574
640,0.2,0.7,5,1.0,1.0,0.81,40.206
640,0.2,0.3,5,1.0,1.0,0.81,42.27
640,0.8,0.3,5,0.0,0.8500000000000001,0.78,47.478
640,0.2,0.7,5,0.0,1.0,0.78,40.818
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,49.066
320,0.8,0.7,5,0.0,0.8500000000000001,0.75,50.257
320,0.8,0.7,5,0.0,0.8500000000000001,0.75,50.258
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,47.48
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,47.715
640,0.2,0.7,5,1.0,1.0,0.81,41.466
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,47.68
640,0.8,0.3,5,0.0,0.8500000000000001,0.78,46.746
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,51.033
640,0.2,0.3,5,1.0,1.0,0.81,40.763
640,0.2,0.7,5,1.0,1.0,0.81,41.283
640,0.2,0.7,5,1.0,1.0,0.81,40.431
640,0.2,0.7,5,1.0,1.0,0.81,41.999
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,47.112
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,50.635
640,0.2,0.7,5,1.0,1.0,0.81,42.964
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,49.659
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,51.639
640,0.2,0.7,5,1.0,1.0,0.81,42.313
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,50.436
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,51.768
640,0.2,0.3,5,1.0,1.0,0.81,42.851
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,49.136
320,0.8,0.7,5,0.0,0.8500000000000001,0.75,50.686
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,51.371
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,51.883
640,0.2,0.7,5,0.0,1.0,0.78,42.332
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,50.229
640,0.2,0.7,5,1.0,1.0,0.81,44.325
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,48.556
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,49.843
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,51.049
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,49.781
640,0.2,0.7,5,0.0,1.0,0.78,45.678
320,0.2,0.3,5,1.0,0.8,0.78,43.852
320,0.8,0.7,5,0.0,0.8500000000000001,0.75,51.636
640,0.2,0.3,5,1.0,1.0,0.81,42.392
640,0.2,0.7,5,0.0,1.0,0.78,41.548
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,49.356
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,48.614
640,0.8,0.7,5,1.0,0.8500000000000001,0.78,47.874
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,49.375
640,0.2,0.7,5,1.0,1.0,0.81,42.225
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,49.726
640,0.8,0.7,5,1.0,0.8500000000000001,0.78,49.892
320,0.8,0.7,5,0.0,0.8500000000000001,0.75,49.84
640,0.2,0.7,5,1.0,1.0,0.81,44.748
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,49.081
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,51.737
640,0.8,0.7,5,1.0,0.8500000000000001,0.78,49.155
640,0.2,0.7,5,0.0,1.0,0.78,42.553
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,51.723
640,0.2,0.3,5,1.0,1.0,0.81,40.692
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,48.3
640,0.2,0.7,5,1.0,1.0,0.81,42.811
640,0.2,0.3,5,1.0,1.0,0.81,40.188
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,48.342
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,49.798
640,0.8,0.7,5,0.0,0.8500000000000001,0.78,47.787
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,51.984
640,0.2,0.7,5,1.0,1.0,0.81,40.432
640,0.2,0.7,5,1.0,1.0,0.81,41.254
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,50.41
640,0.2,0.7,5,0.0,1.0,0.78,40.757
640,0.8,0.3,5,1.0,0.8500000000000001,0.78,47.267
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,47.386
320,0.2,0.3,5,1.0,0.8,0.78,42.623
640,0.2,0.7,5,1.0,1.0,0.81,39.863
320,0.8,0.3,5,1.0,0.8500000000000001,0.75,50.038
